Localidade,Endereco,M2,Preco,R$/M2
"Apartamento para comprar com 53 m², 2 quartos, 2 banheiros, 1 vaga em Jardim Vila Formosa, São Paulo",Rua Rego Barros,53.0,420000.0,7924.528301886792
"Apartamento para comprar com 61-62 m², 2 quartos, 2 banheiros, 1 vaga em Vila Paulista, São Paulo",Rua Gastão da Cunha,62.0,587900.0,9482.258064516129
"Apartamento para comprar com 96 m², 2 quartos, 3 banheiros, 1 vaga em Campo Belo, São Paulo",Rua Vieira de Morais,96.0,799000.0,8322.916666666666
"Apartamento para comprar com 47-55 m², 2 quartos, 1 banheiro, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,55.0,430000.0,7818.181818181818
"Apartamento para comprar com 49-74 m², 2 quartos, 1 banheiro, 1 vaga em Barra Funda, São Paulo",Rua do Bosque,74.0,475000.0,6418.918918918919
"Apartamento para comprar com 52 m², 2 quartos, 2 banheiros, 1 vaga em Jardim Vila Formosa, São Paulo",Rua Rego Barros,52.0,420000.0,8076.923076923077
"Apartamento para comprar com 47 m², 1 quarto, 1 banheiro em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,47.0,428000.0,9106.382978723404
"Apartamento para comprar com 64 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Vila Formosa, São Paulo",Rua Rego Barros,64.0,499000.0,7796.875
"Apartamento para comprar com 47-68 m², 2 quartos, 1 banheiro, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,68.0,430000.0,6323.529411764706
"Apartamento para comprar com 54-67 m², 2 quartos, 2 banheiros, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,67.0,486000.0,7253.731343283582
"Apartamento para comprar com 47-68 m², 2 quartos, 1 banheiro, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,68.0,487592.0,7170.470588235294
"Apartamento para comprar com 41-60 m², 2 quartos, 1 banheiro, 1 vaga em Vila Vermelha, São Paulo",Avenida Deputado Rubens Granja,60.0,313000.0,5216.666666666667
"Apartamento para comprar com 31 m², 1 quarto, 1 banheiro em Vila Pompéia, São Paulo",Rua Venâncio Aires,31.0,510000.0,16451.612903225807
"Apartamento para comprar com 35 m², 1 quarto, 1 banheiro em Planalto Paulista, São Paulo",Rua José Líbero,35.0,349000.0,9971.42857142857
"Apartamento para comprar com 26-37 m², 1 banheiro em Sumaré, São Paulo",Rua Valdir Niemeyer,37.0,394000.0,10648.648648648648
"Apartamento para comprar com 55-70 m², 2 quartos, 2 banheiros, 1 vaga em São João Clímaco, São Paulo",Rua Leandro de Souza,70.0,610000.0,8714.285714285714
"Apartamento para comprar com 54 m², 2 quartos, 2 banheiros, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,54.0,565239.0,10467.388888888889
"Apartamento para comprar com 74 m², 3 quartos, 2 banheiros, 2 vagas em Vila Mascote, São Paulo",Avenida Santa Catarina,74.0,718000.0,9702.702702702703
"Apartamento para comprar com 60-68 m², 2 quartos, 2 banheiros, 1 vaga em Saúde, São Paulo",Rua Caramuru,68.0,783000.0,11514.70588235294
"Apartamento para comprar com 54-67 m², 2 quartos, 2 banheiros, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,67.0,565239.0,8436.402985074626
"Apartamento para comprar com 66 m², 2 quartos, 2 banheiros, 1 vaga em Vila Santa Catarina, São Paulo",Rua das Flechas,66.0,650000.0,9848.484848484848
"Apartamento para comprar com 39 m², 1 quarto, 1 banheiro em Planalto Paulista, São Paulo",Rua José Líbero,39.0,397000.0,10179.48717948718
"Apartamento para comprar com 67-68 m², 2 quartos, 2 banheiros, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,68.0,659000.0,9691.176470588236
"Apartamento para comprar com 25 m², 1 quarto, 1 banheiro em Paraíso, São Paulo",Rua Desembargador Eliseu Guilherme,25.0,495750.0,19830.0
"Apartamento para comprar com 60 m², 2 quartos, 2 banheiros, 1 vaga em Santo Amaro, São Paulo",Rua Coronel Luís Barroso,60.0,650000.0,10833.333333333334
"Apartamento para comprar com 28-29 m², 1 quarto, 1 banheiro em Centro, São Paulo",Rua Brigadeiro Tobias,29.0,250000.0,8620.689655172413
"Apartamento para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga em Liberdade, São Paulo",Rua Glicério,45.0,330000.0,7333.333333333333
"Apartamento para comprar com 22-98 m², 1 banheiro em Pinheiros, São Paulo",Avenida Pedroso de Morais,98.0,523450.0,5341.326530612245
"Apartamento para comprar com 55-56 m², 1 quarto, 2 banheiros, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,56.0,570000.0,10178.57142857143
"Apartamento para comprar com 63 m², 2 quartos, 2 banheiros, 1 vaga em Vila Cruzeiro, São Paulo",Rua Joaquim dos Reis,63.0,665900.0,10569.84126984127
"Apartamento para comprar com 43 m², 2 quartos, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,43.0,380133.0,8840.302325581395
"Apartamento para comprar com 57 m², 2 quartos, 2 banheiros, 1 vaga em Vila Mascote, São Paulo",Avenida Santa Catarina,57.0,599000.0,10508.771929824561
"Apartamento para comprar com 55-68 m², 2 quartos, 2 banheiros, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,68.0,600000.0,8823.529411764706
"Apartamento para comprar com 67 m², 3 quartos, 2 banheiros, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,67.0,659000.0,9835.820895522387
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,38.0,404242.0,10637.947368421053
"Apartamento para comprar com 51-55 m², 2 quartos, 2 banheiros, 1 vaga em Bosque da Saúde, São Paulo",Rua Santo Irineu,55.0,562000.0,10218.181818181818
"Apartamento para comprar com 74 m², 3 quartos, 2 banheiros, 1 vaga em Vila Mascote, São Paulo",Avenida Santa Catarina,74.0,691808.0,9348.756756756757
"Apartamento para comprar com 25 m², 1 quarto, 1 banheiro em Perdizes, São Paulo",Avenida Sumaré,25.0,479999.0,19199.96
"Apartamento para comprar com 38 m², 1 quarto, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,38.0,380133.0,10003.5
"Apartamento para comprar com 67 m², 3 quartos, 2 banheiros, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,67.0,606717.0,9055.477611940298
"Apartamento para comprar com 25-43 m², 1 quarto, 1 banheiro em Vila Mariana, São Paulo",Rua Cubatão,43.0,425000.0,9883.720930232557
"Apartamento para comprar com 38 m², 1 quarto, 1 banheiro em Planalto Paulista, São Paulo",Rua José Líbero,38.0,385000.0,10131.578947368422
"Apartamento para comprar com 50 m², 1 quarto, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,50.0,344606.0,6892.12
"Apartamento para comprar com 55 m², 2 quartos, 2 banheiros, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,55.0,570000.0,10363.636363636364
"Apartamento para comprar com 67-86 m², 2 quartos, 2 banheiros, 1 vaga em Vila Arcádia, São Paulo",Rua Balsa,86.0,699999.0,8139.523255813953
"Apartamento para comprar com 63 m², 2 quartos, 1 banheiro, 1 vaga em Vila Cruzeiro, São Paulo",Rua Joaquim dos Reis,63.0,704900.0,11188.888888888889
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro em Bom Retiro, São Paulo",Avenida Rudge,38.0,290000.0,7631.578947368421
"Apartamento para comprar com 63 m², 1 quarto, 2 banheiros, 1 vaga em Vila Ipojuca, São Paulo",Rua Rumaica,63.0,631000.0,10015.873015873016
"Apartamento para comprar com 30 m², 1 quarto, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,30.0,252400.0,8413.333333333334
"Apartamento para comprar com 63-69 m², 2 quartos, 1 banheiro, 1 vaga em Vila Firmiano Pinto, São Paulo",Rua Adib Miguel Haddad,69.0,720000.0,10434.782608695652
"Apartamento para comprar com 36-38 m², 1 quarto, 1 banheiro em Vila Firmiano Pinto, São Paulo",Rua Vergueiro,38.0,342611.0,9016.078947368422
"Apartamento para comprar com 30-43 m², 1 quarto, 1 banheiro em Vila Prudente, São Paulo",Rua Coronel Joviniano Brandão,43.0,314000.0,7302.325581395349
"Apartamento para comprar com 47 m², 2 quartos, 1 banheiro em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,47.0,405000.0,8617.021276595744
"Apartamento para comprar com 28 m², 1 quarto, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,28.0,239800.0,8564.285714285714
"Apartamento para comprar com 31-53 m², 1 quarto, 1 vaga em Higienópolis, São Paulo",Rua Coronel José Eusébio,53.0,579463.0,10933.264150943396
"Apartamento para comprar com 54-67 m², 2 quartos, 1 banheiro, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,67.0,558750.0,8339.55223880597
"Apartamento para comprar com 31-53 m², 1 quarto, 1 banheiro em Higienópolis, São Paulo",Rua Coronel José Eusébio,53.0,500000.0,9433.962264150943
"Apartamento para comprar com 20 m², 1 quarto, 1 banheiro em Paraíso, São Paulo",Avenida Bernardino de Campos,20.0,639000.0,31950.0
"Apartamento para comprar com 60 m², 2 quartos, 2 banheiros, 1 vaga em Ipiranga, São Paulo",Rua Oliveira Alves,60.0,778860.0,12981.0
"Apartamento para comprar com 61-81 m², 2 quartos, 2 banheiros, 1 vaga em Vila Prudente, São Paulo",Rua Coronel Joviniano Brandão,81.0,797000.0,9839.506172839507
"Apartamento para comprar com 37 m², 1 quarto, 1 banheiro, 1 vaga em Cidade Monções, São Paulo",Rua Flórida,37.0,640000.0,17297.297297297297
"Apartamento para comprar com 37 m², 1 quarto, 1 banheiro, 1 vaga em Vila Mariana, São Paulo",Rua Paula Ney,37.0,590000.0,15945.945945945947
"Apartamento para comprar com 80 m², 1 banheiro, 1 vaga em Vila Nova Savoia, São Paulo",Rua Paranhos,80.0,600000.0,7500.0
"Apartamento para comprar com 35-48 m², 1 quarto, 1 banheiro em Vila Mariana, São Paulo",Rua Dona Avelina,48.0,470000.0,9791.666666666666
"Apartamento para comprar com 48-49 m², 1 quarto, 1 banheiro em Planalto Paulista, São Paulo",Rua José Líbero,49.0,540000.0,11020.408163265307
"Apartamento para comprar com 19 m², 1 quarto, 1 banheiro em República, São Paulo",Rua Rego Freitas,19.0,245000.0,12894.736842105263
"Apartamento para comprar com 49 m², 1 quarto, 1 banheiro, 1 vaga em Campo Belo, São Paulo",Rua Antônio de Macedo Soares,49.0,690000.0,14081.632653061224
"Apartamento para comprar com 54 m², 2 quartos, 2 banheiros, 1 vaga em Mooca, São Paulo",Rua Frei Gaspar,54.0,629597.0,11659.203703703704
"Apartamento para comprar com 56-63 m², 2 quartos, 2 banheiros, 1 vaga em Aclimação, São Paulo",Rua Bueno de Andrade,63.0,649000.0,10301.587301587302
"Apartamento para comprar com 41 m², 1 quarto, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,41.0,317959.0,7755.09756097561
"Apartamento para comprar com 65 m², 2 quartos, 3 banheiros, 1 vaga em Vila Andrade, São Paulo",Rua Carvalho de Freitas,65.0,720200.0,11080.0
"Apartamento para comprar com 69 m², 2 quartos, 1 banheiro em Vila Aricanduva, São Paulo",Rua Tenente-Coronel Soares Neiva,69.0,479692.0,6952.057971014493
"Apartamento para comprar com 48 m², 1 quarto, 1 banheiro, 1 vaga em Vila Gertrudes, São Paulo",Rua Doutor Paschoal Imperatriz,48.0,755000.0,15729.166666666666
"Apartamento para comprar com 37 m², 1 quarto, 1 banheiro em Sumaré, São Paulo",Rua Valdir Niemeyer,37.0,549540.0,14852.432432432432
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro em Água Branca, São Paulo",Rua Airosa Galvão,38.0,481900.0,12681.578947368422
"Apartamento para comprar com 76-80 m², 2 quartos, 3 banheiros, 1 vaga em Tatuapé, São Paulo",Avenida Celso Garcia,80.0,763300.0,9541.25
"Apartamento para comprar com 25 m², 1 quarto, 1 banheiro em Paraíso, São Paulo",Rua Desembargador Eliseu Guilherme,25.0,498250.0,19930.0
"Apartamento para comprar com 40 m², 1 quarto, 1 banheiro, 1 vaga em Brooklin Paulista, São Paulo",Rua Nova York,40.0,780000.0,19500.0
"Apartamento para comprar com 36 m², 2 quartos, 1 banheiro em Vila Olímpia, São Paulo",Rua Professor Vahia de Abreu,36.0,620000.0,17222.222222222223
"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga em Vila Anastácio, São Paulo",Rua Fortunato Ferraz,55.0,768943.0,13980.781818181818
"Apartamento para comprar com 86 m², 3 quartos, 2 banheiros, 2 vagas em Vila Arcádia, São Paulo",Rua Balsa,86.0,799999.0,9302.313953488372
"Apartamento para comprar com 55 m², 2 quartos, 2 banheiros, 1 vaga em Tatuapé, São Paulo",Rua Doutor Raul da Rocha Medeiros,55.0,795000.0,14454.545454545454
"Apartamento para comprar com 20-34 m², 1 quarto, 1 banheiro em Pinheiros, São Paulo",Rua Oscar Freire,34.0,697000.0,20500.0
"Apartamento para comprar com 38 m², 1 quarto, 1 banheiro, 1 vaga em Cerqueira César, São Paulo",Rua Cristiano Viana,38.0,797000.0,20973.684210526317
"Apartamento para comprar com 63-79 m², 2 quartos, 2 banheiros, 1 vaga em Vila Cruzeiro, São Paulo",Rua Albino Boldasso Gabril,79.0,659000.0,8341.772151898735
